COD_ESP;ESP
10022;Scyliorhinus canicula
10006;Hexanchus griseus
10090;Raja clavata
10092;Leucoraja naevus
10019;Galeus melastomus
10091;Raja montagui
10062;Etmopterus spinax
10007;Cetorhinus maximus
10056;Squalus acanthias
10013;Isurus oxyrinchus
10087;Dipturus batis
10095;Raja undulata
10047;Galeorhinus galeus
10113;Torpedo marmorata
10096;Raja asterias
10110;Tetronarce nobiliana
10104;Myliobatis aquila
10085;Raja miraletus
10014;Lamna nasus
10903;Centroscyllium fabricii
10080;Dipturus oxyrinchus
13427;Dipturus flossada
10061;Etmopterus pusillus
10025;Prionace glauca
10112;Torpedo torpedo
10068;Oxynotus centrina
10051;Scymnodon ringens
10109;Gymnura altavela
10088;Leucoraja fullonica
10097;Leucoraja circularis
